2026/03/07 23:34:26.660, 0 %, 0 %, 17752 MiB, 24564 MiB, 74.74 W
2026/03/07 23:34:27.660, 0 %, 0 %, 17752 MiB, 24564 MiB, 66.64 W
2026/03/07 23:34:28.661, 0 %, 0 %, 17752 MiB, 24564 MiB, 58.46 W
2026/03/07 23:34:29.661, 96 %, 40 %, 17752 MiB, 24564 MiB, 202.34 W
2026/03/07 23:34:30.661, 95 %, 40 %, 17752 MiB, 24564 MiB, 435.70 W
2026/03/07 23:34:31.662, 95 %, 40 %, 17752 MiB, 24564 MiB, 435.18 W
2026/03/07 23:34:32.662, 92 %, 37 %, 17752 MiB, 24564 MiB, 422.70 W
2026/03/07 23:34:33.662, 95 %, 38 %, 17752 MiB, 24564 MiB, 433.42 W
2026/03/07 23:34:34.663, 96 %, 39 %, 17752 MiB, 24564 MiB, 432.21 W
2026/03/07 23:34:35.663, 95 %, 37 %, 17752 MiB, 24564 MiB, 431.74 W
2026/03/07 23:34:36.664, 94 %, 36 %, 17752 MiB, 24564 MiB, 417.95 W
2026/03/07 23:34:37.664, 99 %, 39 %, 17752 MiB, 24564 MiB, 427.23 W
2026/03/07 23:34:38.664, 94 %, 35 %, 17752 MiB, 24564 MiB, 425.84 W
2026/03/07 23:34:39.665, 84 %, 30 %, 17762 MiB, 24564 MiB, 420.56 W
2026/03/07 23:34:40.667, 94 %, 90 %, 17762 MiB, 24564 MiB, 382.45 W
2026/03/07 23:34:41.668, 94 %, 90 %, 17762 MiB, 24564 MiB, 379.16 W
2026/03/07 23:34:42.668, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.84 W
2026/03/07 23:34:43.668, 94 %, 90 %, 17762 MiB, 24564 MiB, 379.06 W
2026/03/07 23:34:44.669, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.49 W
2026/03/07 23:34:45.669, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.90 W
2026/03/07 23:34:46.669, 91 %, 86 %, 17762 MiB, 24564 MiB, 376.00 W
2026/03/07 23:34:47.670, 94 %, 90 %, 17762 MiB, 24564 MiB, 377.66 W
2026/03/07 23:34:48.670, 94 %, 90 %, 17762 MiB, 24564 MiB, 377.76 W
2026/03/07 23:34:49.670, 94 %, 89 %, 17762 MiB, 24564 MiB, 377.75 W
2026/03/07 23:34:50.671, 94 %, 90 %, 17762 MiB, 24564 MiB, 377.88 W
2026/03/07 23:34:51.671, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.45 W
2026/03/07 23:34:52.671, 92 %, 88 %, 17762 MiB, 24564 MiB, 375.92 W
2026/03/07 23:34:53.672, 94 %, 90 %, 17762 MiB, 24564 MiB, 376.30 W
2026/03/07 23:34:54.672, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.62 W
2026/03/07 23:34:55.673, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.76 W
2026/03/07 23:34:56.673, 94 %, 90 %, 17762 MiB, 24564 MiB, 378.73 W
2026/03/07 23:34:57.673, 94 %, 89 %, 17762 MiB, 24564 MiB, 379.16 W
2026/03/07 23:34:58.674, 94 %, 89 %, 17762 MiB, 24564 MiB, 378.15 W
2026/03/07 23:34:59.674, 94 %, 89 %, 17762 MiB, 24564 MiB, 376.50 W
2026/03/07 23:35:00.674, 94 %, 90 %, 17762 MiB, 24564 MiB, 379.18 W
2026/03/07 23:35:01.675, 94 %, 90 %, 17762 MiB, 24564 MiB, 379.29 W
2026/03/07 23:35:02.675, 94 %, 89 %, 17762 MiB, 24564 MiB, 379.51 W
2026/03/07 23:35:03.675, 94 %, 90 %, 17762 MiB, 24564 MiB, 379.77 W
2026/03/07 23:35:04.676, 94 %, 90 %, 17762 MiB, 24564 MiB, 379.51 W
2026/03/07 23:35:05.676, 94 %, 90 %, 17762 MiB, 24564 MiB, 377.51 W
2026/03/07 23:35:06.676, 94 %, 89 %, 17762 MiB, 24564 MiB, 380.01 W
2026/03/07 23:35:07.677, 94 %, 90 %, 17762 MiB, 24564 MiB, 380.01 W
2026/03/07 23:35:08.678, 94 %, 90 %, 17762 MiB, 24564 MiB, 380.10 W
