2026/03/08 00:29:16.838, 0 %, 0 %, 23256 MiB, 24564 MiB, 56.85 W
2026/03/08 00:29:17.845, 0 %, 0 %, 23256 MiB, 24564 MiB, 54.15 W
2026/03/08 00:29:18.846, 0 %, 0 %, 23256 MiB, 24564 MiB, 37.34 W
2026/03/08 00:29:19.846, 0 %, 0 %, 23256 MiB, 24564 MiB, 18.39 W
2026/03/08 00:29:20.849, 0 %, 0 %, 23256 MiB, 24564 MiB, 13.49 W
2026/03/08 00:29:21.849, 0 %, 0 %, 23256 MiB, 24564 MiB, 13.21 W
2026/03/08 00:29:22.856, 0 %, 0 %, 23256 MiB, 24564 MiB, 12.79 W
2026/03/08 00:29:23.856, 0 %, 0 %, 23256 MiB, 24564 MiB, 12.19 W
2026/03/08 00:29:24.857, 0 %, 0 %, 23256 MiB, 24564 MiB, 12.08 W
2026/03/08 00:29:25.857, 0 %, 0 %, 23256 MiB, 24564 MiB, 12.26 W
